ticker,company_name,board,aliases
BANK,PT Bank Aladin Syariah Tbk,DEVELOPMENT,BANK ALADIN SYARIAH|ALADIN SYARIAH
BAPA,Bekasi Asri Pemula Tbk,WATCHLIST,BEKASI ASRI PEMULA|BEKASI ASRI
BAPI,PT Bhakti Agung Propertindo Tbk.,WATCHLIST,BHAKTI AGUNG PROPERTINDO|BHAKTI AGUNG
BATA,Sepatu Bata Tbk,WATCHLIST,SEPATU BATA
BATR,PT Benteng Api Technic Tbk,DEVELOPMENT,BENTENG API TECHNIC|BENTENG API
BAUT,PT Mitra Angkasa Sejahtera Tbk,WATCHLIST,MITRA ANGKASA SEJAHTERA|ANGKASA SEJAHTERA|MITRA ANGKASA
BAYU,Bayu Buana Tbk,MAIN,BAYU BUANA
BBCA,PT Bank Central Asia Tbk.,MAIN,BANK CENTRAL ASIA|CENTRAL ASIA
BBHI,PT Allo Bank Indonesia Tbk,MAIN,ALLO BANK INDONESIA|ALLO BANK
BBKP,PT Bank KB Indonesia Tbk,DEVELOPMENT,BANK KB INDONESIA
BBLD,Buana Finance Tbk,DEVELOPMENT,
BBMD,PT Bank Mestika Dharma Tbk.,MAIN,BANK MESTIKA DHARMA|MESTIKA DHARMA
BBNI,PT Bank Negara Indonesia (Persero) Tbk,MAIN,BANK NEGARA INDONESIA|NEGARA INDONESIA
BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,MAIN,BANK RAKYAT INDONESIA|RAKYAT INDONESIA
BBRM,Pelayaran Nasional Bina Buana Raya Tbk,DEVELOPMENT,PELAYARAN NASIONAL BINA BUANA RAYA
BBSI,PT Krom Bank Indonesia Tbk,MAIN,KROM BANK INDONESIA|KROM BANK
BBSS,PT Bumi Benowo Sukses Sejahtera Tbk,DEVELOPMENT,BUMI BENOWO SUKSES SEJAHTERA|BENOWO SUKSES SEJAHTERA|BUMI BENOWO
BBTN,PT Bank Tabungan Negara (Persero) Tbk,MAIN,BANK TABUNGAN NEGARA|TABUNGAN NEGARA
BBYB,PT Bank Neo Commerce Tbk.,MAIN,BANK NEO COMMERCE|NEO COMMERCE
BCAP,MNC Kapital Indonesia Tbk,MAIN,MNC KAPITAL INDONESIA|KAPITAL INDONESIA|MNC KAPITAL
BCIC,PT Bank JTrust Indonesia Tbk.,DEVELOPMENT,BANK JTRUST INDONESIA|JTRUST INDONESIA
BCIP,Bumi Citra Permai Tbk,DEVELOPMENT,BUMI CITRA PERMAI|CITRA PERMAI
BDKR,PT Berdikari Pondasi Perkasa Tbk.,MAIN,BERDIKARI PONDASI PERKASA|BERDIKARI PONDASI
BDMN,PT Bank Danamon Indonesia Tbk,MAIN,BANK DANAMON INDONESIA|DANAMON INDONESIA
BEBS,PT Berkah Beton Sadaya Tbk,WATCHLIST,BERKAH BETON SADAYA|BERKAH BETON
BEEF,PT Estika Tata Tiara Tbk.,DEVELOPMENT,ESTIKA TATA TIARA|ESTIKA TATA
BEER,PT Jobubu Jarum Minahasa Tbk,DEVELOPMENT,JOBUBU JARUM MINAHASA|JOBUBU JARUM
BEKS,PT Bank Pembangunan Daerah Banten Tbk.,WATCHLIST,BANK PEMBANGUNAN DAERAH BANTEN|PEMBANGUNAN DAERAH BANTEN
BELI,PT Global Digital Niaga Tbk,DEVELOPMENT,GLOBAL DIGITAL NIAGA|DIGITAL NIAGA
BELL,PT Trisula Textile Industries Tbk,DEVELOPMENT,TRISULA TEXTILE INDUSTRIES|TRISULA TEXTILE
BESS,PT Batulicin Nusantara Maritim Tbk.,DEVELOPMENT,BATULICIN NUSANTARA MARITIM|BATULICIN NUSANTARA
BEST,Bekasi Fajar Industrial Estate Tbk,MAIN,BEKASI FAJAR INDUSTRIAL ESTATE|BEKASI FAJAR
BFIN,BFI Finance Indonesia Tbk,MAIN,BFI FINANCE INDONESIA|BFI FINANCE
BGTG,PT Bank Ganesha Tbk.,MAIN,BANK GANESHA
BHAT,PT Bhakti Multi Artha Tbk.,DEVELOPMENT,BHAKTI MULTI ARTHA|BHAKTI MULTI
BHIT,PT MNC Asia Holding Tbk,WATCHLIST,MNC ASIA HOLDING|ASIA HOLDING
BIKA,PT Binakarya Jaya Abadi Tbk.,WATCHLIST,BINAKARYA JAYA ABADI|BINAKARYA JAYA
BIKE,PT Sepeda Bersama Indonesia Tbk,DEVELOPMENT,SEPEDA BERSAMA INDONESIA|SEPEDA BERSAMA
BIMA,Primarindo Asia Infrastructure Tbk,WATCHLIST,PRIMARINDO ASIA INFRASTRUCTURE|PRIMARINDO ASIA
BINA,PT Bank Ina Perdana Tbk.,MAIN,BANK INA PERDANA|INA PERDANA
BINO,PT Perma Plasindo Tbk,DEVELOPMENT,PERMA PLASINDO
BIPI,PT Astrindo Nusantara Infrastruktur Tbk.,DEVELOPMENT,ASTRINDO NUSANTARA INFRASTRUKTUR|ASTRINDO NUSANTARA
BIPP,Bhuwanatala Indah Permai Tbk,DEVELOPMENT,BHUWANATALA INDAH PERMAI|BHUWANATALA INDAH
BIRD,PT Blue Bird Tbk,MAIN,BLUE BIRD
BISI,BISI INTERNATIONAL Tbk,MAIN,BISI INTERNATIONAL
BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,MAIN,BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN|PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN
BJTM,Bank Pembangunan Daerah Jawa Timur Tbk,MAIN,BANK PEMBANGUNAN DAERAH JAWA TIMUR|PEMBANGUNAN DAERAH JAWA TIMUR
BKDP,Bukit Darmo Property Tbk,WATCHLIST,BUKIT DARMO PROPERTY|BUKIT DARMO
BKSL,Sentul City Tbk,MAIN,SENTUL CITY
BKSW,PT Bank QNB Indonesia Tbk,DEVELOPMENT,BANK QNB INDONESIA|QNB INDONESIA
BLES,PT Superior Prima Sukses Tbk,DEVELOPMENT,SUPERIOR PRIMA SUKSES|SUPERIOR PRIMA
BLOG,PT Trimitra Trans Persada Tbk,MAIN,TRIMITRA TRANS PERSADA|TRIMITRA TRANS
BLTA,Berlian Laju Tanker Tbk,WATCHLIST,BERLIAN LAJU TANKER|BERLIAN LAJU
BLTZ,PT Graha Layar Prima Tbk.,WATCHLIST,GRAHA LAYAR PRIMA|GRAHA LAYAR
BLUE,PT Berkah Prima Perkasa Tbk,DEVELOPMENT,BERKAH PRIMA PERKASA|BERKAH PRIMA
BMAS,PT Bank Maspion Indonesia Tbk.,DEVELOPMENT,BANK MASPION INDONESIA|MASPION INDONESIA
BMBL,PT Lavender Bina Cendikia Tbk,ACCELERATION,LAVENDER BINA CENDIKIA|LAVENDER BINA
BMHS,PT Bundamedik Tbk,MAIN,BUNDAMEDIK
BMRI,PT Bank Mandiri (Persero) Tbk,MAIN,
BMSR,Bintang Mitra Semestaraya Tbk,DEVELOPMENT,BINTANG MITRA SEMESTARAYA|MITRA SEMESTARAYA
BMTR,PT Global Mediacom Tbk,MAIN,GLOBAL MEDIACOM
BNBA,Bank Bumi Arta Tbk,DEVELOPMENT,BANK BUMI ARTA|BUMI ARTA
BNBR,Bakrie & Brothers Tbk,DEVELOPMENT,BAKRIE BROTHERS
BNGA,PT Bank CIMB Niaga Tbk,MAIN,BANK CIMB NIAGA|CIMB NIAGA
BNII,PT Bank Maybank Indonesia Tbk,MAIN,BANK MAYBANK INDONESIA|MAYBANK INDONESIA
BNLI,Bank Permata Tbk,MAIN,BANK PERMATA
BOAT,PT Newport Marine Services Tbk,DEVELOPMENT,NEWPORT MARINE SERVICES|NEWPORT MARINE
BOBA,PT Formosa Ingredient Factory Tbk,DEVELOPMENT,FORMOSA INGREDIENT FACTORY|FORMOSA INGREDIENT
BOGA,PT Apollo Global Interactive Tbk,DEVELOPMENT,APOLLO GLOBAL INTERACTIVE|APOLLO GLOBAL
BOLA,PT Bali Bintang Sejahtera Tbk.,MAIN,BALI BINTANG SEJAHTERA|BALI BINTANG
BOLT,PT Garuda Metalindo Tbk.,DEVELOPMENT,GARUDA METALINDO
BOSS,PT Borneo Olah Sarana Sukses Tbk.,WATCHLIST,BORNEO OLAH SARANA SUKSES|BORNEO OLAH
BPFI,PT Woori Finance Indonesia Tbk,DEVELOPMENT,WOORI FINANCE INDONESIA|WOORI FINANCE
BPII,PT Batavia Prosperindo Internasional Tbk.,DEVELOPMENT,BATAVIA PROSPERINDO INTERNASIONAL
BPTR,PT Batavia Prosperindo Trans Tbk.,DEVELOPMENT,BATAVIA PROSPERINDO TRANS
BRAM,Indo Kordsa Tbk,DEVELOPMENT,INDO KORDSA
BREN,PT Barito Renewables Energy Tbk.,MAIN,BARITO RENEWABLES ENERGY|BARITO RENEWABLES
BRIS,PT Bank Syariah Indonesia (Persero) Tbk,MAIN,BANK SYARIAH INDONESIA|SYARIAH INDONESIA
BRMS,Bumi Resources Minerals Tbk,MAIN,BUMI RESOURCES MINERALS|RESOURCES MINERALS
BRNA,Berlina Tbk,DEVELOPMENT,BERLINA
BRPT,Barito Pacific Tbk,MAIN,BARITO PACIFIC
BRRC,PT Raja Roti Cemerlang Tbk,DEVELOPMENT,RAJA ROTI CEMERLANG|RAJA ROTI
BSBK,PT Wulandari Bangun Laksana Tbk,DEVELOPMENT,WULANDARI BANGUN LAKSANA|WULANDARI BANGUN
BSDE,PT Bumi Serpong Damai Tbk,MAIN,BUMI SERPONG DAMAI|SERPONG DAMAI|BUMI SERPONG
BSIM,Bank Sinarmas Tbk,MAIN,BANK SINARMAS
BSML,PT Bintang Samudera Mandiri Lines Tbk,DEVELOPMENT,BINTANG SAMUDERA MANDIRI LINES|SAMUDERA MANDIRI LINES|BINTANG SAMUDERA
BSSR,Baramulti Suksessarana Tbk,MAIN,BARAMULTI SUKSESSARANA
BSWD,Bank of India Indonesia Tbk,WATCHLIST,BANK OF INDIA INDONESIA
BTEK,Bumi Teknokultura Unggul Tbk,WATCHLIST,BUMI TEKNOKULTURA UNGGUL|TEKNOKULTURA UNGGUL|BUMI TEKNOKULTURA
BTEL,Bakrie Telecom Tbk,WATCHLIST,BAKRIE TELECOM
BTON,Betonjaya Manunggal Tbk,DEVELOPMENT,BETONJAYA MANUNGGAL
BTPN,PT Bank SMBC Indonesia Tbk,MAIN,BANK SMBC INDONESIA|SMBC INDONESIA
BTPS,PT Bank BTPN Syariah Tbk.,MAIN,BANK BTPN SYARIAH|BTPN SYARIAH
BUAH,PT Segar Kumala Indonesia Tbk,DEVELOPMENT,SEGAR KUMALA INDONESIA|SEGAR KUMALA
BUDI,PT Budi Starch & Sweetener Tbk.,MAIN,BUDI STARCH SWEETENER|BUDI STARCH
BUKA,PT Bukalapak.com Tbk,NEW_ECONOMY,BUKALAPAK COM
BUKK,Bukaka Teknik Utama Tbk,DEVELOPMENT,BUKAKA TEKNIK UTAMA|BUKAKA TEKNIK
BULL,PT Buana Lintas Lautan Tbk.,DEVELOPMENT,BUANA LINTAS LAUTAN|LINTAS LAUTAN|BUANA LINTAS
BUMI,Bumi Resources Tbk,MAIN,
BUVA,PT Bukit Uluwatu Villa Tbk,DEVELOPMENT,BUKIT ULUWATU VILLA|BUKIT ULUWATU
BVIC,Bank Victoria International Tbk,MAIN,BANK VICTORIA INTERNATIONAL|VICTORIA INTERNATIONAL
BWPT,Eagle High Plantations Tbk,MAIN,EAGLE HIGH PLANTATIONS|EAGLE HIGH
BYAN,Bayan Resources Tbk,MAIN,BAYAN RESOURCES
CAKK,PT Cahayaputra Asa Keramik Tbk.,DEVELOPMENT,CAHAYAPUTRA ASA KERAMIK|CAHAYAPUTRA ASA
CAMP,PT Campina Ice Cream Industry Tbk.,DEVELOPMENT,CAMPINA ICE CREAM INDUSTRY|CAMPINA ICE
CANI,PT Capitol Nusantara Indonesia Tbk.,WATCHLIST,CAPITOL NUSANTARA INDONESIA|CAPITOL NUSANTARA
CARE,PT Metro Healthcare Indonesia Tbk,DEVELOPMENT,METRO HEALTHCARE INDONESIA|METRO HEALTHCARE
CARS,PT Industri dan Perdagangan Bintraco Dharma Tbk,MAIN,INDUSTRI DAN PERDAGANGAN BINTRACO DHARMA
CASA,PT Capital Financial Indonesia Tbk,DEVELOPMENT,CAPITAL FINANCIAL INDONESIA|CAPITAL FINANCIAL
CASH,PT Cashlez Worldwide Indonesia Tbk.,ACCELERATION,CASHLEZ WORLDWIDE INDONESIA|CASHLEZ WORLDWIDE
CASS,Cahaya Aero Services Tbk,MAIN,CAHAYA AERO SERVICES|CAHAYA AERO
CBDK,PT Bangun Kosambi Sukses Tbk,MAIN,BANGUN KOSAMBI SUKSES|KOSAMBI SUKSES|BANGUN KOSAMBI
CBMF,PT Cahaya Bintang Medan Tbk,WATCHLIST,CAHAYA BINTANG MEDAN|CAHAYA BINTANG
CBPE,PT Citra Buana Prasida Tbk,DEVELOPMENT,CITRA BUANA PRASIDA|BUANA PRASIDA
CBRE,PT Cakra Buana Resources Energi Tbk,DEVELOPMENT,CAKRA BUANA RESOURCES ENERGI|CAKRA BUANA
CBUT,PT Citra Borneo Utama Tbk,MAIN,CITRA BORNEO UTAMA|BORNEO UTAMA|CITRA BORNEO
CCSI,PT Communication Cable Systems Indonesia Tbk.,DEVELOPMENT,COMMUNICATION CABLE SYSTEMS INDONESIA|COMMUNICATION CABLE
CDIA,PT Chandra Daya Investasi Tbk,DEVELOPMENT,CHANDRA DAYA INVESTASI|CHANDRA DAYA
CEKA,PT Wilmar Cahaya Indonesia Tbk.,DEVELOPMENT,WILMAR CAHAYA INDONESIA|WILMAR CAHAYA
CENT,PT Centratama Telekomunikasi Indonesia Tbk.,DEVELOPMENT,CENTRATAMA TELEKOMUNIKASI INDONESIA|CENTRATAMA TELEKOMUNIKASI
CFIN,Clipan Finance Indonesia Tbk,MAIN,CLIPAN FINANCE INDONESIA|CLIPAN FINANCE
CGAS,PT Citra Nusantara Gemilang Tbk.,DEVELOPMENT,CITRA NUSANTARA GEMILANG|NUSANTARA GEMILANG
CHEK,PT Diastika Biotekindo Tbk,DEVELOPMENT,DIASTIKA BIOTEKINDO
CHEM,PT Chemstar Indonesia Tbk,DEVELOPMENT,CHEMSTAR INDONESIA
CHIP,PT Pelita Teknologi Global Tbk,ACCELERATION,PELITA TEKNOLOGI GLOBAL|PELITA TEKNOLOGI
CINT,PT Chitose Internasional Tbk,DEVELOPMENT,CHITOSE INTERNASIONAL
CITA,Cita Mineral Investindo Tbk,MAIN,CITA MINERAL INVESTINDO|CITA MINERAL
CITY,PT Natura City Developments Tbk.,DEVELOPMENT,NATURA CITY DEVELOPMENTS|NATURA CITY
CLAY,PT Citra Putra Realty Tbk,DEVELOPMENT,CITRA PUTRA REALTY|PUTRA REALTY
CLEO,PT Sariguna Primatirta Tbk,MAIN,SARIGUNA PRIMATIRTA
CLPI,Colorpak Indonesia Tbk,DEVELOPMENT,COLORPAK INDONESIA
CMNP,Citra Marga Nusaphala Persada Tbk,MAIN,CITRA MARGA NUSAPHALA PERSADA|MARGA NUSAPHALA PERSADA|CITRA MARGA
CMNT,PT Cemindo Gemilang Tbk,DEVELOPMENT,CEMINDO GEMILANG
CMPP,PT AirAsia Indonesia Tbk,WATCHLIST,AIRASIA INDONESIA
CMRY,PT Cisarua Mountain Dairy Tbk,MAIN,CISARUA MOUNTAIN DAIRY|CISARUA MOUNTAIN
CNKO,Exploitasi Energi Indonesia Tbk,WATCHLIST,EXPLOITASI ENERGI INDONESIA|EXPLOITASI ENERGI
CNMA,PT Nusantara Sejahtera Raya Tbk,DEVELOPMENT,
CNTX,PT Century Textile Industry Tbk,WATCHLIST,CENTURY TEXTILE INDUSTRY|CENTURY TEXTILE
COAL,PT Black Diamond Resources Tbk,WATCHLIST,BLACK DIAMOND RESOURCES|BLACK DIAMOND
COCO,PT Wahana Interfood Nusantara Tbk.,DEVELOPMENT,WAHANA INTERFOOD NUSANTARA|WAHANA INTERFOOD
COIN,PT Indokripto Koin Semesta Tbk,DEVELOPMENT,INDOKRIPTO KOIN SEMESTA|INDOKRIPTO KOIN
COWL,COWELL DEVELOPMENT Tbk,WATCHLIST,COWELL DEVELOPMENT
CPIN,Charoen Pokphand Indonesia Tbk,MAIN,CHAROEN POKPHAND INDONESIA|CHAROEN POKPHAND
CPRI,PT Capri Nusa Satu Properti Tbk.,WATCHLIST,CAPRI NUSA SATU PROPERTI|CAPRI NUSA
CPRO,Central Proteina Prima Tbk,DEVELOPMENT,CENTRAL PROTEINA PRIMA|CENTRAL PROTEINA
CRAB,PT Toba Surimi Industries Tbk,DEVELOPMENT,TOBA SURIMI INDUSTRIES|TOBA SURIMI
CRSN,PT Carsurin Tbk,DEVELOPMENT,CARSURIN
CSAP,Catur Sentosa Adiprana Tbk,DEVELOPMENT,CATUR SENTOSA ADIPRANA|CATUR SENTOSA
CSIS,PT Cahayasakti Investindo Sukses Tbk,DEVELOPMENT,CAHAYASAKTI INVESTINDO SUKSES|CAHAYASAKTI INVESTINDO
CSMI,PT Cipta Selera Murni Tbk.,DEVELOPMENT,CIPTA SELERA MURNI|CIPTA SELERA
CSRA,PT Cisadane Sawit Raya Tbk.,DEVELOPMENT,CISADANE SAWIT RAYA|CISADANE SAWIT
CTBN,Citra Tubindo Tbk,DEVELOPMENT,CITRA TUBINDO
CTRA,Ciputra Development Tbk,MAIN,CIPUTRA DEVELOPMENT
CTTH,Citatah Tbk,DEVELOPMENT,CITATAH
CUAN,PT Petrindo Jaya Kreasi Tbk,MAIN,PETRINDO JAYA KREASI|PETRINDO JAYA
CYBR,PT ITSEC Asia Tbk.,DEVELOPMENT,ITSEC ASIA
DAAZ,PT Daaz Bara Lestari Tbk,MAIN,DAAZ BARA LESTARI|DAAZ BARA
DADA,PT Diamond Citra Propertindo Tbk.,DEVELOPMENT,DIAMOND CITRA PROPERTINDO|DIAMOND CITRA
DART,Duta Anggada Realty Tbk,DEVELOPMENT,DUTA ANGGADA REALTY|DUTA ANGGADA
DATA,PT Remala Abadi Tbk,DEVELOPMENT,REMALA ABADI
DAYA,PT Duta Intidaya Tbk.,DEVELOPMENT,DUTA INTIDAYA
DCII,PT DCI Indonesia Tbk,DEVELOPMENT,DCI INDONESIA
